ccaa_iso;fecha;Año;Mes;Trimestre;num_casos;Periodo;fecha_int;Estacion;Curso Lectivo
AN;10/9/2020;2020;9;T3;1148;202003;10092020;Verano;1
AN;11/9/2020;2020;9;T3;1376;202003;11092020;Verano;1
AN;12/9/2020;2020;9;T3;991;202003;12092020;Verano;1
AN;13/9/2020;2020;9;T3;849;202003;13092020;Verano;1
AN;14/9/2020;2020;9;T3;1009;202003;14092020;Verano;1
AN;15/9/2020;2020;9;T3;1051;202003;15092020;Verano;1
AN;16/9/2020;2020;9;T3;1363;202003;16092020;Verano;1
AN;17/9/2020;2020;9;T3;1246;202003;17092020;Verano;1
AN;18/9/2020;2020;9;T3;1484;202003;18092020;Verano;1
AN;19/9/2020;2020;9;T3;1097;202003;19092020;Verano;1
AN;20/9/2020;2020;9;T3;815;202003;20092020;Verano;1
AN;21/9/2020;2020;9;T3;1051;202003;21092020;Verano;1
AN;22/9/2020;2020;9;T3;1240;202003;22092020;Verano;1
AN;23/9/2020;2020;9;T3;1299;202003;23092020;Verano;1
AN;24/9/2020;2020;9;T3;1321;202003;24092020;Otoño;1
AN;25/9/2020;2020;9;T3;1369;202003;25092020;Otoño;1
AN;26/9/2020;2020;9;T3;1212;202003;26092020;Otoño;1
AN;27/9/2020;2020;9;T3;787;202003;27092020;Otoño;1
AN;28/9/2020;2020;9;T3;974;202003;28092020;Otoño;1
AN;29/9/2020;2020;9;T3;1301;202003;29092020;Otoño;1
AN;30/9/2020;2020;9;T3;1442;202003;30092020;Otoño;1
AN;1/10/2020;2020;10;T4;1654;202004;1102020;Otoño;1
AN;2/10/2020;2020;10;T4;1749;202004;2102020;Otoño;1
AN;3/10/2020;2020;10;T4;1408;202004;3102020;Otoño;1
AN;4/10/2020;2020;10;T4;1121;202004;4102020;Otoño;1
AN;5/10/2020;2020;10;T4;1565;202004;5102020;Otoño;1
AN;6/10/2020;2020;10;T4;2040;202004;6102020;Otoño;1
AN;7/10/2020;2020;10;T4;2088;202004;7102020;Otoño;1
AN;8/10/2020;2020;10;T4;2309;202004;8102020;Otoño;1
AN;9/10/2020;2020;10;T4;2465;202004;9102020;Otoño;1
AN;10/10/2020;2020;10;T4;2001;202004;10102020;Otoño;1
AN;11/10/2020;2020;10;T4;1365;202004;11102020;Otoño;1
AN;12/10/2020;2020;10;T4;1465;202004;12102020;Otoño;1
AN;13/10/2020;2020;10;T4;2175;202004;13102020;Otoño;1
AN;14/10/2020;2020;10;T4;3105;202004;14102020;Otoño;1
AN;15/10/2020;2020;10;T4;3282;202004;15102020;Otoño;1
AN;16/10/2020;2020;10;T4;3458;202004;16102020;Otoño;1
AN;17/10/2020;2020;10;T4;2841;202004;17102020;Otoño;1
AN;18/10/2020;2020;10;T4;1850;202004;18102020;Otoño;1
AN;19/10/2020;2020;10;T4;3500;202004;19102020;Otoño;1
AN;20/10/2020;2020;10;T4;4112;202004;20102020;Otoño;1
AN;21/10/2020;2020;10;T4;4540;202004;21102020;Otoño;1
AN;22/10/2020;2020;10;T4;4386;202004;22102020;Otoño;1
AN;23/10/2020;2020;10;T4;4603;202004;23102020;Otoño;1
AN;24/10/2020;2020;10;T4;3425;202004;24102020;Otoño;1
AN;25/10/2020;2020;10;T4;2398;202004;25102020;Otoño;1
AN;26/10/2020;2020;10;T4;3959;202004;26102020;Otoño;1
AN;27/10/2020;2020;10;T4;4479;202004;27102020;Otoño;1
AN;28/10/2020;2020;10;T4;4612;202004;28102020;Otoño;1
AN;29/10/2020;2020;10;T4;4395;202004;29102020;Otoño;1
AN;30/10/2020;2020;10;T4;4508;202004;30102020;Otoño;1
AN;31/10/2020;2020;10;T4;3274;202004;31102020;Otoño;1
AN;1/11/2020;2020;11;T4;2954;202004;1112020;Otoño;1
AN;2/11/2020;2020;11;T4;2687;202004;2112020;Otoño;1
AN;3/11/2020;2020;11;T4;3938;202004;3112020;Otoño;1
AN;4/11/2020;2020;11;T4;4341;202004;4112020;Otoño;1
AN;5/11/2020;2020;11;T4;4186;202004;5112020;Otoño;1
AN;6/11/2020;2020;11;T4;4358;202004;6112020;Otoño;1
AN;7/11/2020;2020;11;T4;3201;202004;7112020;Otoño;1
AN;8/11/2020;2020;11;T4;2258;202004;8112020;Otoño;1
AN;9/11/2020;2020;11;T4;3508;202004;9112020;Otoño;1
AN;10/11/2020;2020;11;T4;3867;202004;10112020;Otoño;1
AN;11/11/2020;2020;11;T4;3804;202004;11112020;Otoño;1
AN;12/11/2020;2020;11;T4;3645;202004;12112020;Otoño;1
AN;13/11/2020;2020;11;T4;3739;202004;13112020;Otoño;1
AN;14/11/2020;2020;11;T4;2425;202004;14112020;Otoño;1
AN;15/11/2020;2020;11;T4;1718;202004;15112020;Otoño;1
AN;16/11/2020;2020;11;T4;2676;202004;16112020;Otoño;1
AN;17/11/2020;2020;11;T4;3161;202004;17112020;Otoño;1
AN;18/11/2020;2020;11;T4;2601;202004;18112020;Otoño;1
AN;19/11/2020;2020;11;T4;2285;202004;19112020;Otoño;1
AN;20/11/2020;2020;11;T4;2275;202004;20112020;Otoño;1
AN;21/11/2020;2020;11;T4;1620;202004;21112020;Otoño;1
