A�o,Columna1,Mes,Trimestre,_id,ccaa_iso,fecha,num_casos,num_casos_prueba_ag,num_casos_prueba_desconocida,num_casos_prueba_elisa,num_casos_prueba_pcr,num_casos_prueba_test_ac
2020,2020T1,1,T1,61ed75380634bb5d3b334236,GA,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334237,IB,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334238,MC,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334239,MD,11/01/2020,1,0,0,0,1,0
2020,2020T1,1,T1,61ed75380634bb5d3b33423a,ML,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33423b,NC,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33423c,PV,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33423d,RI,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33423e,VC,11/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b33423f,AN,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334240,AR,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334241,AS,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334242,CB,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334243,CE,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334244,CL,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334245,CM,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334246,CN,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334247,CT,12/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b334248,EX,12/01/2020,0,0,0,0,0,0
