Estacion;fecha;Curso Lectivo
Primavera;11/05/2022;1
Primavera;12/05/2022;1
Primavera;13/05/2022;1
Primavera;14/05/2022;1
Primavera;15/05/2022;1
Primavera;16/05/2022;1
Primavera;17/05/2022;1
Primavera;18/05/2022;1
Primavera;19/05/2022;1
Primavera;20/05/2022;1
Primavera;21/05/2022;1
Primavera;22/05/2022;1
Primavera;23/05/2022;1
Primavera;24/05/2022;1
Primavera;25/05/2022;1
Primavera;26/05/2022;1
Primavera;27/05/2022;1
Primavera;28/05/2022;1
Primavera;29/05/2022;1
Primavera;30/05/2022;1
Primavera;31/05/2022;1
Primavera;01/06/2022;1
Primavera;02/06/2022;1
Primavera;03/06/2022;1
Primavera;04/06/2022;1
Primavera;05/06/2022;1
Primavera;06/06/2022;1
Primavera;07/06/2022;1
Primavera;08/06/2022;1
Primavera;09/06/2022;1
Primavera;10/06/2022;1
Primavera;11/06/2022;1
Primavera;12/06/2022;1
Primavera;13/06/2022;1
Primavera;14/06/2022;1
Primavera;15/06/2022;1
Primavera;16/06/2022;1
Primavera;17/06/2022;1
Primavera;18/06/2022;1
Primavera;19/06/2022;1
Primavera;20/06/2022;1
Primavera;21/06/2022;1
Verano;22/06/2022;1
Verano;23/06/2022;1
Verano;24/06/2022;1
Verano;25/06/2022;0
Verano;26/06/2022;0
Verano;27/06/2022;0
Verano;28/06/2022;0
Verano;29/06/2022;0
Verano;30/06/2022;0
Verano;01/07/2022;0
Verano;02/07/2022;0
Verano;03/07/2022;0
Verano;04/07/2022;0
Verano;05/07/2022;0
Verano;06/07/2022;0
Verano;07/07/2022;0
Verano;08/07/2022;0
Verano;09/07/2022;0
Verano;10/07/2022;0
Verano;11/07/2022;0
Verano;12/07/2022;0
Verano;13/07/2022;0
Verano;14/07/2022;0
Verano;15/07/2022;0
Verano;16/07/2022;0
Verano;17/07/2022;0
Verano;18/07/2022;0
Verano;19/07/2022;0
Verano;20/07/2022;0
Verano;21/07/2022;0
Verano;22/07/2022;0
Verano;23/07/2022;0
Verano;24/07/2022;0
Verano;25/07/2022;0
Verano;26/07/2022;0
Verano;27/07/2022;0
Verano;28/07/2022;0
Verano;29/07/2022;0
Verano;30/07/2022;0
Verano;31/07/2022;0
Verano;01/08/2022;0
Verano;02/08/2022;0
Verano;03/08/2022;0
Verano;04/08/2022;0
Verano;05/08/2022;0
Verano;06/08/2022;0
Verano;07/08/2022;0
Verano;08/08/2022;0
Verano;09/08/2022;0
Verano;10/08/2022;0
Verano;11/08/2022;0
Verano;12/08/2022;0
Verano;13/08/2022;0
Verano;14/08/2022;0
Verano;15/08/2022;0
